DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2003,28130,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2004,21688,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2005,25757,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2006,23721,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2007,25922,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2008,29771,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2009,29829,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2010,27141,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2011,29155,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2012,27781,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2013,28160,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT31,2014,31194,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2001,944,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2002,929,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2003,765,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2004,612,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2005,796,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2006,1059,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2007,566,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2008,947,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2009,608,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2010,856,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2011,692,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2012,851,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2013,592,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT32,2014,783,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2001,512,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2002,356,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2003,298,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2004,306,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2005,152,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2006,80,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2007,38,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2008,37,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2009,8,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2010,64,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2011,28,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2012,126,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2013,126,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT33,2014,332,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2001,261,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2002,176,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2003,160,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2004,144,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2005,124,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2006,116,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2007,174,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2008,44,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2009,57,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2010,78,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2011,89,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2012,110,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2013,318,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT34,2014,386,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2000,162844,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2001,150015,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2002,155741,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2003,146763,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2004,149229,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2005,139625,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2006,139400,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2007,146101,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2008,141010,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2009,146268,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2010,149079,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2011,144287,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2012,143317,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2013,150172,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2014,152869,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2015,153942,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2016,158650,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2017,152990,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BE,2018,148342,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2000,144928,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2001,167962,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2002,155411,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2003,140930,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2004,164958,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2005,159506,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2006,152766,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2007,177936,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2008,173917,
