"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","1995","Wholesale trade (46)","Other Taxes less Other Subsidies on Production","Euro Million","19"
"Gross Value Added (GVA) at Current Market Prices","1995","Wholesale trade (46)","Gross Value Added (GVA) at Basic Prices","Euro Million","1945"
"Gross Value Added (GVA) at Current Market Prices","1995","Retail trade (47)","Compensation of Employees","Euro Million","1528"
"Gross Value Added (GVA) at Current Market Prices","1995","Retail trade (47)","Net Operating Surplus and Net Mixed Income","Euro Million","1082"
"Gross Value Added (GVA) at Current Market Prices","1995","Retail trade (47)","Consumption of Fixed Capital","Euro Million","136"
"Gross Value Added (GVA) at Current Market Prices","1995","Retail trade (47)","Other Taxes less Other Subsidies on Production","Euro Million","27"
"Gross Value Added (GVA) at Current Market Prices","1995","Retail trade (47)","Gross Value Added (GVA) at Basic Prices","Euro Million","2773"
"Gross Value Added (GVA) at Current Market Prices","1995","Land transport (49)","Compensation of Employees","Euro Million","316"
"Gross Value Added (GVA) at Current Market Prices","1995","Land transport (49)","Net Operating Surplus and Net Mixed Income","Euro Million","175"
"Gross Value Added (GVA) at Current Market Prices","1995","Land transport (49)","Consumption of Fixed Capital","Euro Million","102"
"Gross Value Added (GVA) at Current Market Prices","1995","Land transport (49)","Other Taxes less Other Subsidies on Production","Euro Million","36"
"Gross Value Added (GVA) at Current Market Prices","1995","Land transport (49)","Gross Value Added (GVA) at Basic Prices","Euro Million","628"
"Gross Value Added (GVA) at Current Market Prices","1995","Water transport (50)","Compensation of Employees","Euro Million","45"
"Gross Value Added (GVA) at Current Market Prices","1995","Water transport (50)","Net Operating Surplus and Net Mixed Income","Euro Million","-25"
"Gross Value Added (GVA) at Current Market Prices","1995","Water transport (50)","Consumption of Fixed Capital","Euro Million","39"
"Gross Value Added (GVA) at Current Market Prices","1995","Water transport (50)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","1995","Water transport (50)","Gross Value Added (GVA) at Basic Prices","Euro Million","62"
"Gross Value Added (GVA) at Current Market Prices","1995","Air transport, Warehousing and support activities for transportation (51-52)","Compensation of Employees","Euro Million","327"
"Gross Value Added (GVA) at Current Market Prices","1995","Air transport, Warehousing and support activities for transportation (51-52)","Net Operating Surplus and Net Mixed Income","Euro Million","15"
"Gross Value Added (GVA) at Current Market Prices","1995","Air transport, Warehousing and support activities for transportation (51-52)","Consumption of Fixed Capital","Euro Million","194"
"Gross Value Added (GVA) at Current Market Prices","1995","Air transport, Warehousing and support activities for transportation (51-52)","Other Taxes less Other Subsidies on Production","Euro Million","23"
"Gross Value Added (GVA) at Current Market Prices","1995","Air transport, Warehousing and support activities for transportation (51-52)","Gross Value Added (GVA) at Basic Prices","Euro Million","559"
"Gross Value Added (GVA) at Current Market Prices","1995","Postal and courier activities (53)","Compensation of Employees","Euro Million","406"
"Gross Value Added (GVA) at Current Market Prices","1995","Postal and courier activities (53)","Net Operating Surplus and Net Mixed Income","Euro Million","4"
