"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities auxiliary to financial services and insurance activities (66)","Consumption of Fixed Capital","Euro Million","102"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities auxiliary to financial services and insurance activities (66)","Other Taxes less Other Subsidies on Production","Euro Million","98"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities auxiliary to financial services and insurance activities (66)","Gross Value Added (GVA) at Basic Prices","Euro Million","3018"
"Gross Value Added (GVA) at Current Market Prices","2017","Real estate activities (68)","Compensation of Employees","Euro Million","775"
"Gross Value Added (GVA) at Current Market Prices","2017","Real estate activities (68)","Net Operating Surplus and Net Mixed Income","Euro Million","9564"
"Gross Value Added (GVA) at Current Market Prices","2017","Real estate activities (68)","Consumption of Fixed Capital","Euro Million","5305"
"Gross Value Added (GVA) at Current Market Prices","2017","Real estate activities (68)","Other Taxes less Other Subsidies on Production","Euro Million","598"
"Gross Value Added (GVA) at Current Market Prices","2017","Real estate activities (68)","Gross Value Added (GVA) at Basic Prices","Euro Million","16242"
"Gross Value Added (GVA) at Current Market Prices","2017","Legal and accounting activities; head offices and management consultancy activities (69,70)","Compensation of Employees","Euro Million","3723"
"Gross Value Added (GVA) at Current Market Prices","2017","Legal and accounting activities; head offices and management consultancy activities (69,70)","Net Operating Surplus and Net Mixed Income","Euro Million","2287"
"Gross Value Added (GVA) at Current Market Prices","2017","Legal and accounting activities; head offices and management consultancy activities (69,70)","Consumption of Fixed Capital","Euro Million","1312"
"Gross Value Added (GVA) at Current Market Prices","2017","Legal and accounting activities; head offices and management consultancy activities (69,70)","Other Taxes less Other Subsidies on Production","Euro Million","10"
"Gross Value Added (GVA) at Current Market Prices","2017","Legal and accounting activities; head offices and management consultancy activities (69,70)","Gross Value Added (GVA) at Basic Prices","Euro Million","7332"
"Gross Value Added (GVA) at Current Market Prices","2017","Architectural and engineering activities; technical testing and analysis (71)","Compensation of Employees","Euro Million","1182"
"Gross Value Added (GVA) at Current Market Prices","2017","Architectural and engineering activities; technical testing and analysis (71)","Net Operating Surplus and Net Mixed Income","Euro Million","499"
"Gross Value Added (GVA) at Current Market Prices","2017","Architectural and engineering activities; technical testing and analysis (71)","Consumption of Fixed Capital","Euro Million","178"
"Gross Value Added (GVA) at Current Market Prices","2017","Architectural and engineering activities; technical testing and analysis (71)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","2017","Architectural and engineering activities; technical testing and analysis (71)","Gross Value Added (GVA) at Basic Prices","Euro Million","1860"
"Gross Value Added (GVA) at Current Market Prices","2017","Scientific research and development (72)","Compensation of Employees","Euro Million","454"
"Gross Value Added (GVA) at Current Market Prices","2017","Scientific research and development (72)","Net Operating Surplus and Net Mixed Income","Euro Million","579"
"Gross Value Added (GVA) at Current Market Prices","2017","Scientific research and development (72)","Consumption of Fixed Capital","Euro Million","647"
"Gross Value Added (GVA) at Current Market Prices","2017","Scientific research and development (72)","Other Taxes less Other Subsidies on Production","Euro Million","-63"
"Gross Value Added (GVA) at Current Market Prices","2017","Scientific research and development (72)","Gross Value Added (GVA) at Basic Prices","Euro Million","1616"
"Gross Value Added (GVA) at Current Market Prices","2017","Advertising and market research (73)","Compensation of Employees","Euro Million","512"
"Gross Value Added (GVA) at Current Market Prices","2017","Advertising and market research (73)","Net Operating Surplus and Net Mixed Income","Euro Million","363"
"Gross Value Added (GVA) at Current Market Prices","2017","Advertising and market research (73)","Consumption of Fixed Capital","Euro Million","88"
"Gross Value Added (GVA) at Current Market Prices","2017","Advertising and market research (73)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","2017","Advertising and market research (73)","Gross Value Added (GVA) at Basic Prices","Euro Million","964"
"Gross Value Added (GVA) at Current Market Prices","2017","Other professional, scientific, technical and veterinary activities (74 to 75)","Compensation of Employees","Euro Million","334"
"Gross Value Added (GVA) at Current Market Prices","2017","Other professional, scientific, technical and veterinary activities (74 to 75)","Net Operating Surplus and Net Mixed Income","Euro Million","502"
"Gross Value Added (GVA) at Current Market Prices","2017","Other professional, scientific, technical and veterinary activities (74 to 75)","Consumption of Fixed Capital","Euro Million","155"
"Gross Value Added (GVA) at Current Market Prices","2017","Other professional, scientific, technical and veterinary activities (74 to 75)","Other Taxes less Other Subsidies on Production","Euro Million","7"
"Gross Value Added (GVA) at Current Market Prices","2017","Other professional, scientific, technical and veterinary activities (74 to 75)","Gross Value Added (GVA) at Basic Prices","Euro Million","998"
"Gross Value Added (GVA) at Current Market Prices","2017","Renting and leasing activities (77)","Compensation of Employees","Euro Million","805"
"Gross Value Added (GVA) at Current Market Prices","2017","Renting and leasing activities (77)","Net Operating Surplus and Net Mixed Income","Euro Million","5855"
"Gross Value Added (GVA) at Current Market Prices","2017","Renting and leasing activities (77)","Consumption of Fixed Capital","Euro Million","5667"
"Gross Value Added (GVA) at Current Market Prices","2017","Renting and leasing activities (77)","Other Taxes less Other Subsidies on Production","Euro Million","44"
"Gross Value Added (GVA) at Current Market Prices","2017","Renting and leasing activities (77)","Gross Value Added (GVA) at Basic Prices","Euro Million","12371"
"Gross Value Added (GVA) at Current Market Prices","2017","Employment activities (78)","Compensation of Employees","Euro Million","1433"
"Gross Value Added (GVA) at Current Market Prices","2017","Employment activities (78)","Net Operating Surplus and Net Mixed Income","Euro Million","73"
"Gross Value Added (GVA) at Current Market Prices","2017","Employment activities (78)","Consumption of Fixed Capital","Euro Million","39"
"Gross Value Added (GVA) at Current Market Prices","2017","Employment activities (78)","Other Taxes less Other Subsidies on Production","Euro Million","-29"
"Gross Value Added (GVA) at Current Market Prices","2017","Employment activities (78)","Gross Value Added (GVA) at Basic Prices","Euro Million","1516"
"Gross Value Added (GVA) at Current Market Prices","2017","Travel agency, tour operator and other reservation service and related activities (79)","Compensation of Employees","Euro Million","180"
"Gross Value Added (GVA) at Current Market Prices","2017","Travel agency, tour operator and other reservation service and related activities (79)","Net Operating Surplus and Net Mixed Income","Euro Million","177"
"Gross Value Added (GVA) at Current Market Prices","2017","Travel agency, tour operator and other reservation service and related activities (79)","Consumption of Fixed Capital","Euro Million","28"
"Gross Value Added (GVA) at Current Market Prices","2017","Travel agency, tour operator and other reservation service and related activities (79)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","2017","Travel agency, tour operator and other reservation service and related activities (79)","Gross Value Added (GVA) at Basic Prices","Euro Million","385"
"Gross Value Added (GVA) at Current Market Prices","2017","Administrative and support service activities (80 to 82)","Compensation of Employees","Euro Million","2094"
"Gross Value Added (GVA) at Current Market Prices","2017","Administrative and support service activities (80 to 82)","Net Operating Surplus and Net Mixed Income","Euro Million","302"
"Gross Value Added (GVA) at Current Market Prices","2017","Administrative and support service activities (80 to 82)","Consumption of Fixed Capital","Euro Million","921"
"Gross Value Added (GVA) at Current Market Prices","2017","Administrative and support service activities (80 to 82)","Other Taxes less Other Subsidies on Production","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","2017","Administrative and support service activities (80 to 82)","Gross Value Added (GVA) at Basic Prices","Euro Million","3323"
"Gross Value Added (GVA) at Current Market Prices","2017","Public administration and defence; compulsory social security (84)","Compensation of Employees","Euro Million","6963"
"Gross Value Added (GVA) at Current Market Prices","2017","Public administration and defence; compulsory social security (84)","Net Operating Surplus and Net Mixed Income","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2017","Public administration and defence; compulsory social security (84)","Consumption of Fixed Capital","Euro Million","1628"
"Gross Value Added (GVA) at Current Market Prices","2017","Public administration and defence; compulsory social security (84)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","2017","Public administration and defence; compulsory social security (84)","Gross Value Added (GVA) at Basic Prices","Euro Million","8596"
"Gross Value Added (GVA) at Current Market Prices","2017","Education (85)","Compensation of Employees","Euro Million","7563"
"Gross Value Added (GVA) at Current Market Prices","2017","Education (85)","Net Operating Surplus and Net Mixed Income","Euro Million","363"
"Gross Value Added (GVA) at Current Market Prices","2017","Education (85)","Consumption of Fixed Capital","Euro Million","1091"
"Gross Value Added (GVA) at Current Market Prices","2017","Education (85)","Other Taxes less Other Subsidies on Production","Euro Million","-38"
"Gross Value Added (GVA) at Current Market Prices","2017","Education (85)","Gross Value Added (GVA) at Basic Prices","Euro Million","8978"
"Gross Value Added (GVA) at Current Market Prices","2017","Human health activities(86)","Compensation of Employees","Euro Million","7866"
"Gross Value Added (GVA) at Current Market Prices","2017","Human health activities(86)","Net Operating Surplus and Net Mixed Income","Euro Million","1155"
"Gross Value Added (GVA) at Current Market Prices","2017","Human health activities(86)","Consumption of Fixed Capital","Euro Million","773"
"Gross Value Added (GVA) at Current Market Prices","2017","Human health activities(86)","Other Taxes less Other Subsidies on Production","Euro Million","14"
"Gross Value Added (GVA) at Current Market Prices","2017","Human health activities(86)","Gross Value Added (GVA) at Basic Prices","Euro Million","9808"
"Gross Value Added (GVA) at Current Market Prices","2017","Social work activities (87-88)","Compensation of Employees","Euro Million","3506"
"Gross Value Added (GVA) at Current Market Prices","2017","Social work activities (87-88)","Net Operating Surplus and Net Mixed Income","Euro Million","750"
"Gross Value Added (GVA) at Current Market Prices","2017","Social work activities (87-88)","Consumption of Fixed Capital","Euro Million","13"
"Gross Value Added (GVA) at Current Market Prices","2017","Social work activities (87-88)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2017","Social work activities (87-88)","Gross Value Added (GVA) at Basic Prices","Euro Million","4269"
"Gross Value Added (GVA) at Current Market Prices","2017","Arts, entertainment and recreation (90 to 92)","Compensation of Employees","Euro Million","446"
"Gross Value Added (GVA) at Current Market Prices","2017","Arts, entertainment and recreation (90 to 92)","Net Operating Surplus and Net Mixed Income","Euro Million","697"
"Gross Value Added (GVA) at Current Market Prices","2017","Arts, entertainment and recreation (90 to 92)","Consumption of Fixed Capital","Euro Million","265"
"Gross Value Added (GVA) at Current Market Prices","2017","Arts, entertainment and recreation (90 to 92)","Other Taxes less Other Subsidies on Production","Euro Million","17"
"Gross Value Added (GVA) at Current Market Prices","2017","Arts, entertainment and recreation (90 to 92)","Gross Value Added (GVA) at Basic Prices","Euro Million","1425"
"Gross Value Added (GVA) at Current Market Prices","2017","Sports activities and amusement and recreation activities (93)","Compensation of Employees","Euro Million","457"
"Gross Value Added (GVA) at Current Market Prices","2017","Sports activities and amusement and recreation activities (93)","Net Operating Surplus and Net Mixed Income","Euro Million","324"
"Gross Value Added (GVA) at Current Market Prices","2017","Sports activities and amusement and recreation activities (93)","Consumption of Fixed Capital","Euro Million","142"
"Gross Value Added (GVA) at Current Market Prices","2017","Sports activities and amusement and recreation activities (93)","Other Taxes less Other Subsidies on Production","Euro Million","11"
"Gross Value Added (GVA) at Current Market Prices","2017","Sports activities and amusement and recreation activities (93)","Gross Value Added (GVA) at Basic Prices","Euro Million","935"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of membership organisations (94)","Compensation of Employees","Euro Million","561"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of membership organisations (94)","Net Operating Surplus and Net Mixed Income","Euro Million","47"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of membership organisations (94)","Consumption of Fixed Capital","Euro Million","15"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of membership organisations (94)","Other Taxes less Other Subsidies on Production","Euro Million","8"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of membership organisations (94)","Gross Value Added (GVA) at Basic Prices","Euro Million","631"
"Gross Value Added (GVA) at Current Market Prices","2017","Repair of computers and personal and household goods (95)","Compensation of Employees","Euro Million","38"
"Gross Value Added (GVA) at Current Market Prices","2017","Repair of computers and personal and household goods (95)","Net Operating Surplus and Net Mixed Income","Euro Million","8"
"Gross Value Added (GVA) at Current Market Prices","2017","Repair of computers and personal and household goods (95)","Consumption of Fixed Capital","Euro Million","13"
"Gross Value Added (GVA) at Current Market Prices","2017","Repair of computers and personal and household goods (95)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","2017","Repair of computers and personal and household goods (95)","Gross Value Added (GVA) at Basic Prices","Euro Million","60"
"Gross Value Added (GVA) at Current Market Prices","2017","Other personal service activities (96)","Compensation of Employees","Euro Million","463"
"Gross Value Added (GVA) at Current Market Prices","2017","Other personal service activities (96)","Net Operating Surplus and Net Mixed Income","Euro Million","335"
"Gross Value Added (GVA) at Current Market Prices","2017","Other personal service activities (96)","Consumption of Fixed Capital","Euro Million","35"
"Gross Value Added (GVA) at Current Market Prices","2017","Other personal service activities (96)","Other Taxes less Other Subsidies on Production","Euro Million","16"
"Gross Value Added (GVA) at Current Market Prices","2017","Other personal service activities (96)","Gross Value Added (GVA) at Basic Prices","Euro Million","849"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of households as employers; producing activities of households for own use (97,98)","Compensation of Employees","Euro Million","55"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of households as employers; producing activities of households for own use (97,98)","Net Operating Surplus and Net Mixed Income","Euro Million","70"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of households as employers; producing activities of households for own use (97,98)","Consumption of Fixed Capital","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of households as employers; producing activities of households for own use (97,98)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of households as employers; producing activities of households for own use (97,98)","Gross Value Added (GVA) at Basic Prices","Euro Million","125"
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of extraterritorial organisations and bodies (99)","Compensation of Employees","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of extraterritorial organisations and bodies (99)","Net Operating Surplus and Net Mixed Income","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of extraterritorial organisations and bodies (99)","Consumption of Fixed Capital","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of extraterritorial organisations and bodies (99)","Other Taxes less Other Subsidies on Production","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2017","Activities of extraterritorial organisations and bodies (99)","Gross Value Added (GVA) at Basic Prices","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2017","NACE economic sectors (01-98)","Compensation of Employees","Euro Million","88270"
"Gross Value Added (GVA) at Current Market Prices","2017","NACE economic sectors (01-98)","Net Operating Surplus and Net Mixed Income","Euro Million","112403"
"Gross Value Added (GVA) at Current Market Prices","2017","NACE economic sectors (01-98)","Consumption of Fixed Capital","Euro Million","72367"
"Gross Value Added (GVA) at Current Market Prices","2017","NACE economic sectors (01-98)","Other Taxes less Other Subsidies on Production","Euro Million","994"
"Gross Value Added (GVA) at Current Market Prices","2017","NACE economic sectors (01-98)","Gross Value Added (GVA) at Basic Prices","Euro Million","274034"
"Gross Value Added (GVA) at Current Market Prices","2018","Crop and animal production, hunting and related service activities (01)","Compensation of Employees","Euro Million","609"
"Gross Value Added (GVA) at Current Market Prices","2018","Crop and animal production, hunting and related service activities (01)","Net Operating Surplus and Net Mixed Income","Euro Million","2814"
"Gross Value Added (GVA) at Current Market Prices","2018","Crop and animal production, hunting and related service activities (01)","Consumption of Fixed Capital","Euro Million","912"
"Gross Value Added (GVA) at Current Market Prices","2018","Crop and animal production, hunting and related service activities (01)","Other Taxes less Other Subsidies on Production","Euro Million","-1613"
"Gross Value Added (GVA) at Current Market Prices","2018","Crop and animal production, hunting and related service activities (01)","Gross Value Added (GVA) at Basic Prices","Euro Million","2722"
"Gross Value Added (GVA) at Current Market Prices","2018","Forestry and logging (02)","Compensation of Employees","Euro Million","68"
"Gross Value Added (GVA) at Current Market Prices","2018","Forestry and logging (02)","Net Operating Surplus and Net Mixed Income","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","2018","Forestry and logging (02)","Consumption of Fixed Capital","Euro Million","35"
"Gross Value Added (GVA) at Current Market Prices","2018","Forestry and logging (02)","Other Taxes less Other Subsidies on Production","Euro Million","-90"
"Gross Value Added (GVA) at Current Market Prices","2018","Forestry and logging (02)","Gross Value Added (GVA) at Basic Prices","Euro Million","17"
"Gross Value Added (GVA) at Current Market Prices","2018","Fishing and aquaculture (03)","Compensation of Employees","Euro Million","50"
"Gross Value Added (GVA) at Current Market Prices","2018","Fishing and aquaculture (03)","Net Operating Surplus and Net Mixed Income","Euro Million","112"
"Gross Value Added (GVA) at Current Market Prices","2018","Fishing and aquaculture (03)","Consumption of Fixed Capital","Euro Million","10"
"Gross Value Added (GVA) at Current Market Prices","2018","Fishing and aquaculture (03)","Other Taxes less Other Subsidies on Production","Euro Million","-14"
"Gross Value Added (GVA) at Current Market Prices","2018","Fishing and aquaculture (03)","Gross Value Added (GVA) at Basic Prices","Euro Million","158"
"Gross Value Added (GVA) at Current Market Prices","2018","Mining and quarrying (05 to 09)","Compensation of Employees","Euro Million","270"
"Gross Value Added (GVA) at Current Market Prices","2018","Mining and quarrying (05 to 09)","Net Operating Surplus and Net Mixed Income","Euro Million","45"
"Gross Value Added (GVA) at Current Market Prices","2018","Mining and quarrying (05 to 09)","Consumption of Fixed Capital","Euro Million","275"
"Gross Value Added (GVA) at Current Market Prices","2018","Mining and quarrying (05 to 09)","Other Taxes less Other Subsidies on Production","Euro Million","22"
"Gross Value Added (GVA) at Current Market Prices","2018","Mining and quarrying (05 to 09)","Gross Value Added (GVA) at Basic Prices","Euro Million","611"
"Gross Value Added (GVA) at Current Market Prices","2018","Food products, beverages and tobacco (10 to 12)","Compensation of Employees","Euro Million","2328"
"Gross Value Added (GVA) at Current Market Prices","2018","Food products, beverages and tobacco (10 to 12)","Net Operating Surplus and Net Mixed Income","Euro Million","6352"
"Gross Value Added (GVA) at Current Market Prices","2018","Food products, beverages and tobacco (10 to 12)","Consumption of Fixed Capital","Euro Million","674"
"Gross Value Added (GVA) at Current Market Prices","2018","Food products, beverages and tobacco (10 to 12)","Other Taxes less Other Subsidies on Production","Euro Million","79"
"Gross Value Added (GVA) at Current Market Prices","2018","Food products, beverages and tobacco (10 to 12)","Gross Value Added (GVA) at Basic Prices","Euro Million","9433"
"Gross Value Added (GVA) at Current Market Prices","2018","Textiles, wearing apparel and leather products (13 to 15)","Compensation of Employees","Euro Million","82"
"Gross Value Added (GVA) at Current Market Prices","2018","Textiles, wearing apparel and leather products (13 to 15)","Net Operating Surplus and Net Mixed Income","Euro Million","11"
"Gross Value Added (GVA) at Current Market Prices","2018","Textiles, wearing apparel and leather products (13 to 15)","Consumption of Fixed Capital","Euro Million","41"
"Gross Value Added (GVA) at Current Market Prices","2018","Textiles, wearing apparel and leather products (13 to 15)","Other Taxes less Other Subsidies on Production","Euro Million","18"
"Gross Value Added (GVA) at Current Market Prices","2018","Textiles, wearing apparel and leather products (13 to 15)","Gross Value Added (GVA) at Basic Prices","Euro Million","152"
"Gross Value Added (GVA) at Current Market Prices","2018","Wood and wood products, except furniture (16)","Compensation of Employees","Euro Million","178"
"Gross Value Added (GVA) at Current Market Prices","2018","Wood and wood products, except furniture (16)","Net Operating Surplus and Net Mixed Income","Euro Million","85"
"Gross Value Added (GVA) at Current Market Prices","2018","Wood and wood products, except furniture (16)","Consumption of Fixed Capital","Euro Million","76"
"Gross Value Added (GVA) at Current Market Prices","2018","Wood and wood products, except furniture (16)","Other Taxes less Other Subsidies on Production","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","2018","Wood and wood products, except furniture (16)","Gross Value Added (GVA) at Basic Prices","Euro Million","344"
"Gross Value Added (GVA) at Current Market Prices","2018","Paper and paper products (17)","Compensation of Employees","Euro Million","160"
"Gross Value Added (GVA) at Current Market Prices","2018","Paper and paper products (17)","Net Operating Surplus and Net Mixed Income","Euro Million","24"
"Gross Value Added (GVA) at Current Market Prices","2018","Paper and paper products (17)","Consumption of Fixed Capital","Euro Million","37"
"Gross Value Added (GVA) at Current Market Prices","2018","Paper and paper products (17)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2018","Paper and paper products (17)","Gross Value Added (GVA) at Basic Prices","Euro Million","224"
"Gross Value Added (GVA) at Current Market Prices","2018","Printing and reproduction of recorded media (18)","Compensation of Employees","Euro Million","204"
"Gross Value Added (GVA) at Current Market Prices","2018","Printing and reproduction of recorded media (18)","Net Operating Surplus and Net Mixed Income","Euro Million","12"
"Gross Value Added (GVA) at Current Market Prices","2018","Printing and reproduction of recorded media (18)","Consumption of Fixed Capital","Euro Million","77"
"Gross Value Added (GVA) at Current Market Prices","2018","Printing and reproduction of recorded media (18)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2018","Printing and reproduction of recorded media (18)","Gross Value Added (GVA) at Basic Prices","Euro Million","298"
"Gross Value Added (GVA) at Current Market Prices","2018","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Compensation of Employees","Euro Million","6967"
"Gross Value Added (GVA) at Current Market Prices","2018","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Net Operating Surplus and Net Mixed Income","Euro Million","50903"
"Gross Value Added (GVA) at Current Market Prices","2018","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Consumption of Fixed Capital","Euro Million","35558"
"Gross Value Added (GVA) at Current Market Prices","2018","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Other Taxes less Other Subsidies on Production","Euro Million","170"
"Gross Value Added (GVA) at Current Market Prices","2018","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Gross Value Added (GVA) at Basic Prices","Euro Million","93599"
"Gross Value Added (GVA) at Current Market Prices","2018","Rubber and plastic products (22)","Compensation of Employees","Euro Million","350"
"Gross Value Added (GVA) at Current Market Prices","2018","Rubber and plastic products (22)","Net Operating Surplus and Net Mixed Income","Euro Million","79"
"Gross Value Added (GVA) at Current Market Prices","2018","Rubber and plastic products (22)","Consumption of Fixed Capital","Euro Million","186"
"Gross Value Added (GVA) at Current Market Prices","2018","Rubber and plastic products (22)","Other Taxes less Other Subsidies on Production","Euro Million","14"
"Gross Value Added (GVA) at Current Market Prices","2018","Rubber and plastic products (22)","Gross Value Added (GVA) at Basic Prices","Euro Million","629"
"Gross Value Added (GVA) at Current Market Prices","2018","Other non-metallic mineral products (23)","Compensation of Employees","Euro Million","405"
"Gross Value Added (GVA) at Current Market Prices","2018","Other non-metallic mineral products (23)","Net Operating Surplus and Net Mixed Income","Euro Million","90"
"Gross Value Added (GVA) at Current Market Prices","2018","Other non-metallic mineral products (23)","Consumption of Fixed Capital","Euro Million","342"
"Gross Value Added (GVA) at Current Market Prices","2018","Other non-metallic mineral products (23)","Other Taxes less Other Subsidies on Production","Euro Million","19"
"Gross Value Added (GVA) at Current Market Prices","2018","Other non-metallic mineral products (23)","Gross Value Added (GVA) at Basic Prices","Euro Million","857"
"Gross Value Added (GVA) at Current Market Prices","2018","Basic metals (24)","Compensation of Employees","Euro Million","177"
"Gross Value Added (GVA) at Current Market Prices","2018","Basic metals (24)","Net Operating Surplus and Net Mixed Income","Euro Million","53"
"Gross Value Added (GVA) at Current Market Prices","2018","Basic metals (24)","Consumption of Fixed Capital","Euro Million","70"
"Gross Value Added (GVA) at Current Market Prices","2018","Basic metals (24)","Other Taxes less Other Subsidies on Production","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","2018","Basic metals (24)","Gross Value Added (GVA) at Basic Prices","Euro Million","306"
"Gross Value Added (GVA) at Current Market Prices","2018","Fabricated metal products, except machinery and equipment (25)","Compensation of Employees","Euro Million","582"
"Gross Value Added (GVA) at Current Market Prices","2018","Fabricated metal products, except machinery and equipment (25)","Net Operating Surplus and Net Mixed Income","Euro Million","237"
"Gross Value Added (GVA) at Current Market Prices","2018","Fabricated metal products, except machinery and equipment (25)","Consumption of Fixed Capital","Euro Million","177"
"Gross Value Added (GVA) at Current Market Prices","2018","Fabricated metal products, except machinery and equipment (25)","Other Taxes less Other Subsidies on Production","Euro Million","16"
"Gross Value Added (GVA) at Current Market Prices","2018","Fabricated metal products, except machinery and equipment (25)","Gross Value Added (GVA) at Basic Prices","Euro Million","1011"
"Gross Value Added (GVA) at Current Market Prices","2018","Electrical equipment (27)","Compensation of Employees","Euro Million","204"
"Gross Value Added (GVA) at Current Market Prices","2018","Electrical equipment (27)","Net Operating Surplus and Net Mixed Income","Euro Million","185"
"Gross Value Added (GVA) at Current Market Prices","2018","Electrical equipment (27)","Consumption of Fixed Capital","Euro Million","51"
"Gross Value Added (GVA) at Current Market Prices","2018","Electrical equipment (27)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","2018","Electrical equipment (27)","Gross Value Added (GVA) at Basic Prices","Euro Million","444"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor vehicles, trailers and semi-trailers (29)","Compensation of Employees","Euro Million","112"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor vehicles, trailers and semi-trailers (29)","Net Operating Surplus and Net Mixed Income","Euro Million","29"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor vehicles, trailers and semi-trailers (29)","Consumption of Fixed Capital","Euro Million","50"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor vehicles, trailers and semi-trailers (29)","Other Taxes less Other Subsidies on Production","Euro Million","8"
"Gross Value Added (GVA) at Current Market Prices","2018","Motor vehicles, trailers and semi-trailers (29)","Gross Value Added (GVA) at Basic Prices","Euro Million","199"
"Gross Value Added (GVA) at Current Market Prices","2018","Other transport equipment (30)","Compensation of Employees","Euro Million","107"
"Gross Value Added (GVA) at Current Market Prices","2018","Other transport equipment (30)","Net Operating Surplus and Net Mixed Income","Euro Million","64"
"Gross Value Added (GVA) at Current Market Prices","2018","Other transport equipment (30)","Consumption of Fixed Capital","Euro Million","8"
"Gross Value Added (GVA) at Current Market Prices","2018","Other transport equipment (30)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","2018","Other transport equipment (30)","Gross Value Added (GVA) at Basic Prices","Euro Million","181"
"Gross Value Added (GVA) at Current Market Prices","2018","Electricity, gas, steam and air conditioning supply (35)","Compensation of Employees","Euro Million","889"
"Gross Value Added (GVA) at Current Market Prices","2018","Electricity, gas, steam and air conditioning supply (35)","Net Operating Surplus and Net Mixed Income","Euro Million","638"
"Gross Value Added (GVA) at Current Market Prices","2018","Electricity, gas, steam and air conditioning supply (35)","Consumption of Fixed Capital","Euro Million","1309"
"Gross Value Added (GVA) at Current Market Prices","2018","Electricity, gas, steam and air conditioning supply (35)","Other Taxes less Other Subsidies on Production","Euro Million","299"
"Gross Value Added (GVA) at Current Market Prices","2018","Electricity, gas, steam and air conditioning supply (35)","Gross Value Added (GVA) at Basic Prices","Euro Million","3135"
"Gross Value Added (GVA) at Current Market Prices","2018","Water collection, treatment and supply (36)","Compensation of Employees","Euro Million","77"
"Gross Value Added (GVA) at Current Market Prices","2018","Water collection, treatment and supply (36)","Net Operating Surplus and Net Mixed Income","Euro Million","-16"
"Gross Value Added (GVA) at Current Market Prices","2018","Water collection, treatment and supply (36)","Consumption of Fixed Capital","Euro Million","207"
"Gross Value Added (GVA) at Current Market Prices","2018","Water collection, treatment and supply (36)","Other Taxes less Other Subsidies on Production","Euro Million","97"
"Gross Value Added (GVA) at Current Market Prices","2018","Water collection, treatment and supply (36)","Gross Value Added (GVA) at Basic Prices","Euro Million","365"
"Gross Value Added (GVA) at Current Market Prices","2018","Sewerage, waste management and remediation activities (37 to 39)","Compensation of Employees","Euro Million","291"
