DATAFLOW,LAST UPDATE,freq,unit,agriprod,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2017,6448,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2018,7600,b
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2019,8561,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ0,2020,9477,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2011,2623,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2012,3494,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2013,4148,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2014,4312,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2015,4875,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2016,5274,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2017,6708,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2018,7738,b
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2019,8747,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ02,2020,9673,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2011,1481,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2012,2563,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2013,2742,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2014,3691,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2015,4071,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2016,4891,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2017,5972,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2018,7856,b
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2019,8483,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ03,2020,10325,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ04,2011,1946,
ESTAT:APRI_LPRC(1.0),11/03/22 23:00:00,A,EUR_HA,ARA,CZ04,2012,3955,
