DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2004,12.66,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2005,10.13,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2006,10.98,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2007,16.60,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2008,20.39,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2009,12.09,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2010,13.16,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2011,19.33,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2012,20.72,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2013,20.50,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2014,16.62,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2015,15.50,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2016,14.10,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2017,15.00,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2018,16.90,
ESTAT:APRI_AP_CRPOUTA(1.0),05/07/21 23:00:00,A,EUR,01110000,DK,2019,17.97,
